STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980522,74, , ,0,2400,53, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980522,83, , ,0,1800,56, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980522,86, , ,0,1700,56, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980522,72, , ,0,1700,54, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980522,80, , ,0,1900,51, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980522,73, , ,0,2400,48, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980523,74, , ,0,2400,54, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980523,68, , ,0,1800,56, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980523,85, , ,0,1700,57, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980523,72, , ,0,1700,53, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980523,69, , ,0,1900,54, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980523,74, , ,0,2400,52, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980524,75, , ,0,2400,54, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980524,69, , ,0,1800,51, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980524,84, , ,0,1700,52, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980524,73, , ,0,1700,53, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980524,66, , ,0,1900,50, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980524,77, , ,0,2400,48, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980525,85, , ,0,2400,59, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980525,84, , ,0,1800,60, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980525,88, , ,0,1700,56, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980525,83, , ,0,1700,58, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980525,69, , ,0,1900,50, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980525,86, , ,0,2400,57, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980526,78, , ,0,2400,65, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980526,82, , ,0,1800,65, , ,0,1800
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980526,76, , ,0,1700,64, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980526,81, , ,0,1900,62, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980526,82, , ,0,2400,59, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980527,74, , ,0,2400,64, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980527,70, , ,0,1800,63, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980527,84, , ,0,1700,62, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980527,73, , ,0,1700,61, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980527,74, , ,0,1900,61, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980527,74, , ,0,2400,57, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980528,85, , ,0,2400,57, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980528,78, , ,0,1800,64, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980528,86, , ,0,1700,60, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980528,85, , ,0,1700,55, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980528,68, , ,0,1900,56, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980528,84, , ,0,2400,54, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980529,92, , ,0,2400,63, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980529,85, , ,0,1800,65, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980529,84, , ,0,1700,64, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980529,88, , ,0,1700,64, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980529,79, , ,0,1900,59, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980529,89, , ,0,2400,59, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980530,94, , ,0,2400,67, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980530,89, , ,0,1800,68, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980530,89, , ,0,1700,57, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980530,88, , ,0,1700,67, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980530,84, , ,0,1900,64, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980530,92, , ,0,2400,64, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980531,90, , ,0,2400,68, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980531,88, , ,0,1800,68, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980531,90, , ,0,1700,70, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980531,88, , ,0,1700,70, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980531,84, , ,0,1900,68, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980531,91, , ,0,2400,66, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980601,82, , ,0,2400,58, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980601,85, , ,0,1800,67, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980601,90, , ,0,1700,66, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980601,80, , ,0,1700,61, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980601,86, , ,0,1900,64, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980601,80, , ,0,2400,53, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980602,83, , ,0,2400,49, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980602,83, , ,0,1800,56, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980602,80, , ,0,1700,56, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980602,82, , ,0,1700,54, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980602,74, , ,0,1900,53, , ,0,1900
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980602,81, , ,0,2400,51, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980603,77, , ,0,2400,56, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980603,82, , ,0,1800,62, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980603,78, , ,0,1700,62, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980603,75, , ,0,1700,57, , ,0,1700
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980603,79, , ,0,2400,56, , ,0,2400
